"RegionID","RegionName","SizeRank","1998-01","1998-02","1998-03","1998-04","1998-05","1998-06","1998-07","1998-08","1998-09","1998-10","1998-11","1998-12","1999-01","1999-02","1999-03","1999-04","1999-05","1999-06","1999-07","1999-08","1999-09","1999-10","1999-11","1999-12","2000-01","2000-02","2000-03","2000-04","2000-05","2000-06","2000-07","2000-08","2000-09","2000-10","2000-11","2000-12","2001-01","2001-02","2001-03","2001-04","2001-05","2001-06","2001-07","2001-08","2001-09","2001-10","2001-11","2001-12","2002-01","2002-02","2002-03","2002-04","2002-05","2002-06","2002-07","2002-08","2002-09","2002-10","2002-11","2002-12","2003-01","2003-02","2003-03","2003-04","2003-05","2003-06","2003-07","2003-08","2003-09","2003-10","2003-11","2003-12","2004-01","2004-02","2004-03","2004-04","2004-05","2004-06","2004-07","2004-08","2004-09","2004-10","2004-11","2004-12","2005-01","2005-02","2005-03","2005-04","2005-05","2005-06","2005-07","2005-08","2005-09","2005-10","2005-11","2005-12","2006-01","2006-02","2006-03","2006-04","2006-05","2006-06","2006-07","2006-08","2006-09","2006-10","2006-11","2006-12","2007-01","2007-02","2007-03","2007-04","2007-05","2007-06","2007-07","2007-08","2007-09","2007-10","2007-11","2007-12","2008-01","2008-02","2008-03","2008-04","2008-05","2008-06","2008-07","2008-08","2008-09","2008-10","2008-11","2008-12","2009-01","2009-02","2009-03","2009-04","2009-05","2009-06","2009-07","2009-08","2009-09","2009-10","2009-11","2009-12","2010-01","2010-02","2010-03","2010-04","2010-05","2010-06","2010-07","2010-08","2010-09","2010-10","2010-11","2010-12","2011-01","2011-02","2011-03","2011-04","2011-05","2011-06","2011-07","2011-08","2011-09","2011-10","2011-11","2011-12","2012-01","2012-02","2012-03","2012-04","2012-05","2012-06","2012-07","2012-08","2012-09","2012-10","2012-11","2012-12","2013-01","2013-02","2013-03","2013-04","2013-05","2013-06","2013-07","2013-08","2013-09","2013-10","2013-11","2013-12","2014-01","2014-02","2014-03","2014-04","2014-05","2014-06","2014-07","2014-08","2014-09","2014-10","2014-11","2014-12","2015-01","2015-02","2015-03","2015-04","2015-05","2015-06","2015-07","2015-08","2015-09","2015-10","2015-11","2015-12","2016-01","2016-02","2016-03","2016-04","2016-05","2016-06","2016-07","2016-08","2016-09","2016-10","2016-11"
9,"California",1,7.7679,7.7774,7.8901,7.5991,7.0851,7.0327,7.0112,6.7991,6.6456,6.3013,5.7848,5.7158,5.6148,5.2693,5.6189,5.5068,5.0077,4.8882,4.7975,4.7768,4.4821,4.1055,3.8838,3.7984,3.7821,3.8433,3.9775,3.6988,3.557,3.644,3.4347,3.3079,3.0609,2.9182,2.761,2.6046,2.7416,2.5357,2.1574,2.1888,2.3091,2.3879,2.3533,2.4554,2.1677,2.2935,2.2301,2.1674,2.2774,2.227,2.1563,2.1717,2.0596,1.9078,1.8355,1.7552,1.6339,1.5754,1.3807,1.3463,1.3367,1.1988,1.0977,1.0603,1.0438,1.0625,1.0568,0.9935,0.9164,0.931,0.7765,0.8129,0.8429,0.7539,0.7045,0.629,0.5439,0.5273,0.5227,0.4852,0.4628,0.4232,0.3693,0.3509,0.3286,0.329,0.324,0.3113,0.2962,0.2897,0.3237,0.3315,0.3291,0.321,0.3219,0.3635,0.4439,0.4592,0.5711,0.6532,0.7781,0.8871,1.1305,1.3804,1.6065,2.0381,2.3901,2.9253,3.7411,4.3624,5.3032,6.3668,6.9247,8.1487,9.1222,10.6169,11.1674,12.8237,12.8461,14.7505,18.495,21.0747,21.277,22.805,25.6175,29.0572,32.5412,35.3371,34.4395,26.9534,21.5244,20.9624,21.0215,21.6636,18.4931,16.0955,15.9824,21.8142,23.6964,22.171,19.9983,20.5399,20.1912,21.4292,19.9629,18.302,18.9241,20.8264,20.3192,19.5704,18.1845,18.605,20.0842,19.6989,16.3704,14.5622,16.0855,17.2597,18.9654,18.4701,17.8248,18.0795,17.2565,16.8163,16.4085,15.0229,13.6023,13.6507,14.5444,13.8682,12.1617,10.3677,9.5274,9.1838,8.991,9.4107,10.0067,10.3116,9.8081,8.862,7.9847,6.4326,5.5055,5.2484,4.6253,3.8455,3.5339,3.4289,3.3708,3.5145,3.4124,3.5077,3.629,3.2899,3.3454,3.3462,3.1593,3.0233,3.1361,2.9427,2.8428,2.935,2.7976,2.9806,2.948,2.7273,2.6941,2.8267,2.6833,2.6646,2.5025,2.3551,2.3651,2.2853,2.2181,2.3853,2.3132,2.2205,2.175,2.1139,1.9421,1.5139,1.1794,0.972,0.9032,0.834,0.7844
43,"New York",2,0.4211,0.4382,0.4276,0.3728,0.3818,0.4074,0.431,0.3926,0.3616,0.3764,0.3995,0.4039,0.3894,0.3732,0.4864,0.488,0.4591,0.4582,0.4643,0.456,0.4113,0.4095,0.3886,0.4362,0.4537,0.4531,0.4669,0.4489,0.4922,0.4004,0.3288,0.2904,0.3035,0.3237,0.269,0.3148,0.3247,0.3901,0.3872,0.3604,0.3091,0.2633,0.2446,0.2581,0.2584,0.25,0.2393,0.1948,0.2237,0.203,0.2409,0.2561,0.3084,0.3795,0.4673,0.529,0.5384,0.5392,0.5827,0.6221,0.5452,0.4805,0.5142,0.5394,0.4944,0.4736,0.4775,0.5029,0.3893,0.2686,0.1956,0.1991,0.4498,0.6706,0.7329,0.7475,0.71,0.7159,0.7272,0.6687,0.5591,0.5991,0.6087,0.684,0.7297,0.7441,0.7924,0.7811,0.7518,0.7982,0.727,0.7234,0.6982,0.7011,0.6953,0.7685,0.9119,0.8533,0.9117,0.869,0.8514,0.8982,0.9514,0.9158,0.8749,0.8813,0.7659,0.7898,0.8339,0.8849,0.9444,1.056,1.1781,1.2395,1.294,1.3326,1.2881,1.5662,1.599,1.5599,1.6453,1.7691,1.945,1.9918,1.9785,1.9643,1.8963,1.8377,1.911,2.1204,1.9555,1.8907,1.8403,1.8791,2.1778,2.1199,2.0474,2.0605,2.1571,2.2106,2.1493,2.0288,2.0994,2.0438,2.1771,2.1249,2.3553,2.3586,2.1108,1.9288,1.8553,2.1603,2.2013,2.1948,1.6971,1.2324,0.9035,0.7774,0.7912,0.7136,0.6154,0.6414,0.6254,0.722,0.7176,0.7601,0.8462,0.9108,0.8573,0.8243,0.8842,0.8279,0.7355,0.7444,0.7055,0.7143,0.9374,0.9287,0.8851,0.9112,0.9678,1.0462,1.0694,0.9641,1.0311,1.0281,1.1001,1.2974,1.3191,1.3612,1.412,1.4755,1.5996,1.6022,1.6035,1.7328,1.6722,1.8461,1.9716,1.9185,1.9296,2.1606,2.1432,2.1851,2.162,2.3769,2.6146,2.6931,2.5634,2.5329,2.4765,2.6747,2.7427,2.9628,3.058,3.3405,3.1323,3.2245,3.793,3.4561,2.6592,1.5073,0.6995,0.3578,0.2738,0.3064,0.2085
47,"Pennsylvania",3,2.3204,2.3473,2.4731,2.6157,2.5635,2.4012,2.0613,1.6261,1.163,1.6482,2.1373,2.5643,2.3858,2.299,2.0393,1.2553,0.7153,0.4876,0.54,0.6607,0.6522,0.682,0.6541,0.7427,0.7132,0.8467,0.7778,0.6259,0.7098,0.8007,0.7764,0.8608,0.7635,0.7073,0.6214,0.7012,0.6005,0.7043,0.7755,0.8232,0.8144,0.7895,0.7498,0.8117,0.7766,0.9059,0.8102,0.8022,0.7997,0.7896,0.8335,0.9478,0.9769,0.9438,0.8638,1.002,0.8098,0.8673,0.6948,0.7496,0.8604,0.9927,1.1313,1.047,0.9282,0.8219,0.7964,0.8978,0.9455,0.9718,0.8725,0.8303,1.2118,1.8677,2.1855,2.0298,1.8023,1.9347,2.0254,2.0855,2.1868,2.5757,2.6151,2.7257,2.5502,2.4092,2.3461,2.0675,1.7498,1.8942,1.8688,2.0403,1.9658,2.0257,1.8258,1.8156,1.835,1.9655,2.1526,1.975,1.8367,2.2948,2.2565,2.3531,2.3376,2.3668,2.348,2.2401,2.1643,2.0186,2.0168,1.9278,1.8398,1.8968,2.0259,2.2297,2.3216,2.3169,2.5199,2.57,2.6306,2.9784,3.2025,2.8767,2.9286,2.7616,2.6531,2.5682,2.3983,2.5066,2.4485,2.8075,2.8758,3.1788,3.6702,3.3403,2.847,2.7179,2.7172,2.9658,2.846,2.6689,2.6997,2.8153,2.6782,2.6849,3.9457,4.0468,3.6602,3.3351,3.8131,3.9699,4.0122,4.0601,4.0802,3.5992,2.946,2.5091,2.727,3.0634,2.9938,3.0977,3.4973,3.4109,3.007,2.9388,2.8154,2.816,2.6324,3.2492,3.342,3.0812,2.8693,2.9258,3.2551,3.2741,3.0645,3.3758,3.4874,3.0854,3.3228,3.2488,3.8416,3.7661,3.725,3.3006,2.9361,3.212,3.4315,3.5709,3.2074,3.2692,3.468,3.5773,4.0999,4.1476,3.9678,4.2883,4.5023,5.3617,5.2895,5.4144,4.3799,4.1975,4.3084,4.5053,4.4504,4.6982,4.6432,4.8084,4.7219,4.4328,4.217,4.3621,4.1417,3.856,3.7597,4.1927,4.1738,3.7792,2.7018,1.3443,0.4626,0.1349,0.0706,0.1383,0.1211
44,"Ohio",4,0.769,0.9249,1.0266,1.0351,0.8695,0.8955,0.8726,0.8619,0.8244,0.9027,0.9095,0.9446,0.9196,0.9569,1.0697,1.1458,1.1034,1.1276,1.1444,1.2082,1.1404,1.1176,1.121,1.1801,1.2708,1.2672,1.3473,1.2612,1.3577,1.4478,1.494,1.8013,1.8699,1.8431,1.689,1.5649,1.6517,1.7467,1.6266,1.6666,1.7857,1.9204,1.9061,2.0868,2.0383,2.1588,2.1666,2.007,2.1143,1.9802,2.1103,2.0456,2.2721,2.1921,2.2041,2.3766,2.5079,2.7318,2.6871,2.5956,2.7552,2.7376,3.026,3.3889,3.6704,3.6662,3.712,3.5965,3.432,3.6065,3.3406,3.5767,4.0209,4.2193,4.7442,4.9086,5.0571,5.1159,5.2162,5.0063,5.1484,5.2613,5.3232,5.1276,5.0096,4.8976,4.9888,5.3562,5.3672,5.5826,5.723,5.9674,6.0715,6.2476,6.372,6.199,6.1641,5.9206,6.1788,6.174,6.1164,6.3445,6.0256,6.537,6.8971,7.1087,7.1662,7.5906,8.0185,7.705,8.2472,8.0353,8.0356,8.098,7.7632,7.7763,7.5495,8.3288,8.9275,8.8351,8.7984,8.1822,7.9688,8.4454,9.2642,9.5968,9.1399,8.3544,8.3745,8.666,9.318,10.6677,10.4147,8.878,7.8907,7.0408,6.4346,6.2346,5.8389,6.0294,6.1456,7.2685,7.6639,9.7278,8.7833,8.4593,8.3778,8.4451,8.2559,8.1256,7.8191,7.2293,7.1788,7.3041,7.1559,7.2789,7.1481,6.5805,6.7925,6.7388,6.3107,5.9469,5.5203,6.7633,7.4338,6.8791,5.9902,6.1768,6.3745,6.143,6.1963,6.1826,6.351,6.3139,6.1023,7.4774,7.5739,8.1678,7.6542,7.8036,7.1854,6.6581,6.7584,7.0549,7.2032,6.5838,6.3525,6.7241,6.9057,7.625,7.2702,7.218,7.1144,7.1944,7.0148,6.9379,6.9925,6.9241,6.8123,6.3367,6.307,6.6899,6.6142,6.6085,6.7569,6.1494,6.0365,5.8148,5.4827,5.2122,5.1921,5.0526,5.2625,5.2361,4.8144,4.4133,4.2122,3.9582,4.2377,4.1399,3.4855,2.0024,0.9333,0.5309,0.485,0.6485,0.5751
36,"North Carolina",5,0.3077,0.3274,0.378,0.3575,0.389,0.407,0.4611,0.4322,0.4072,0.3796,0.3585,0.2752,0.215,0.2216,0.2356,0.2282,0.2221,0.302,0.2981,0.385,0.4368,0.4599,0.3945,0.5019,0.5884,0.6498,0.5714,0.5487,0.5693,0.6337,0.6916,0.7209,0.7367,0.685,0.6438,0.6341,0.6765,0.638,0.6838,0.6527,0.5746,0.5618,0.4706,0.5206,0.4868,0.5485,0.5582,0.5951,0.6279,0.5937,0.6634,0.7473,0.8427,0.8505,0.8266,0.9014,0.9765,1.0619,0.9581,0.9612,1.0809,1.0596,1.0056,1.0581,1.1611,1.5127,1.6235,1.5653,1.5219,1.5914,1.5257,1.6283,2.1739,2.3668,2.6108,2.4332,2.53,2.7273,2.5797,2.6223,2.4836,2.5014,2.386,2.4508,2.6568,2.6196,2.6211,2.5169,2.5514,2.7764,2.771,2.661,2.5359,2.5785,2.6338,2.6561,2.7732,2.7636,2.9817,2.7974,3.0354,3.005,2.8713,2.7794,2.7094,2.6929,2.6355,2.501,2.8684,2.7978,2.8716,2.9303,2.9699,2.9904,2.9015,2.8528,2.7517,3.1843,3.1356,2.9271,3.0988,3.2365,3.3779,3.4577,3.7278,3.5732,3.6517,3.5386,3.5316,3.7153,3.6458,3.6237,3.4296,3.2751,3.0256,2.7843,2.5808,3.2689,4.1509,4.3721,4.3145,4.3091,4.2861,4.8467,4.9031,5.378,6.172,6.2788,6.0195,6.2801,6.1795,6.6728,6.7255,6.6523,5.9579,5.3139,4.5696,4.136,3.9871,3.6737,3.6416,3.8685,3.8642,4.2724,4.488,4.837,4.9476,5.5648,5.9407,6.0944,6.4648,6.6058,6.4965,6.0509,5.8159,5.7296,5.9588,6.1596,6.0041,5.7118,5.7202,5.5889,6.1511,6.7909,7.2155,6.3134,5.8487,5.7199,6.2783,7.3406,6.6401,6.1795,6.243,6.1733,6.2419,6.1576,5.903,5.6692,5.3055,5.1159,4.6925,4.5933,3.9667,3.9502,3.9305,3.7006,3.7576,3.6565,3.604,3.681,3.639,3.4062,3.1378,3.2726,3.1378,3.1845,3.1719,3.1917,3.3255,3.2368,2.9644,1.7678,0.7404,0.223,0.144,0.14,0.1166
40,"New Jersey",6,0.1641,0.3153,0.4197,0.4057,0.4337,0.5063,0.5144,0.5286,0.4908,0.5469,0.5297,0.4722,0.4679,0.5638,0.6126,0.6346,0.6025,0.6901,0.6471,0.6243,0.6284,0.7317,0.7537,0.7607,0.672,0.6077,0.7084,0.7467,0.809,0.8457,0.7606,0.7445,0.7319,0.8608,0.7799,0.7815,0.7432,0.6935,0.694,0.6398,0.635,0.5557,0.4792,0.5098,0.522,0.5605,0.5563,0.5677,0.5908,0.4804,0.3986,0.5001,0.5471,0.5306,0.479,0.4969,0.5183,0.5815,0.5174,0.4673,0.451,0.3963,0.4767,0.5261,0.4887,0.4628,0.3626,0.3729,0.4176,0.4338,0.4125,0.4275,0.7262,0.9953,1.1384,1.051,0.9432,0.9825,1.0532,1.0248,0.8848,0.8133,0.7043,0.6456,0.6496,0.5425,0.6041,0.5785,0.6059,0.636,0.6834,0.777,0.739,0.7003,0.6163,0.6215,0.6551,0.698,0.7749,0.7536,0.7736,0.8011,0.6997,0.7305,0.7365,0.7178,0.75,0.787,0.8307,0.6633,0.5716,0.5727,0.6104,0.5126,0.4501,0.444,0.3918,0.4238,0.4482,0.4345,0.4801,0.5762,0.5803,0.6738,0.6554,0.8741,1.1282,1.327,1.2607,1.228,1.0964,1.0661,0.9168,0.943,0.9234,0.8607,0.7674,0.9107,1.0543,1.0709,1.1481,1.1673,1.2165,1.3166,1.3259,1.274,1.6092,1.8541,1.7665,1.7322,1.5938,1.4127,1.5382,1.6081,1.4434,1.2279,0.9373,0.5599,0.3519,0.2767,0.3311,0.3556,0.3298,0.3401,0.4203,0.4406,0.4941,0.5494,0.5319,0.5614,0.6254,0.6645,0.7477,0.7332,0.6645,0.6566,0.6361,0.6634,0.7158,0.7464,0.7299,0.7291,0.8332,0.9391,0.9052,1.0016,1.3617,1.7587,1.7463,1.6739,1.4396,1.4073,1.3549,1.3681,1.4637,1.5753,1.6557,1.8614,1.9,1.9632,1.9968,2.185,2.1895,2.3993,2.1493,2.0763,2.4768,2.9053,3.0401,3.2821,3.2654,3.17,3.1849,3.3355,3.5346,3.9074,3.9328,4.073,4.272,3.8382,2.7941,1.3954,0.7276,0.6718,0.7131,0.5055,0.2184
56,"Virginia",7,0.2469,0.254,0.3226,0.3421,0.3188,0.3028,0.2715,0.2702,0.236,0.2214,0.1976,0.217,0.1976,0.1984,0.2022,0.1653,0.1166,0.1336,0.1692,0.1718,0.1744,0.1897,0.2199,0.1879,0.225,0.2458,0.2487,0.1991,0.155,0.1742,0.1851,0.1992,0.1766,0.1565,0.1459,0.1128,0.1133,0.0757,0.0614,0.0781,0.0761,0.0752,0.0586,0.0576,0.0515,0.0461,0.0399,0.048,0.0783,0.0722,0.068,0.0776,0.0779,0.0718,0.064,0.0638,0.0525,0.0624,0.0433,0.0449,0.0609,0.0516,0.0646,0.0594,0.0455,0.0409,0.0229,0.016,0.0188,0.0314,0.0284,0.026,0.1255,0.1646,0.1722,0.1056,0.1071,0.1081,0.1475,0.1583,0.1613,0.1605,0.1648,0.1275,0.0963,0.1075,0.1259,0.1276,0.0985,0.0765,0.0579,0.0791,0.0706,0.0906,0.079,0.0999,0.0873,0.1058,0.1347,0.1463,0.1915,0.249,0.2806,0.3281,0.3999,0.4369,0.5835,0.7796,1.1913,1.6512,1.868,2.0523,2.3458,2.7607,2.943,3.327,3.3872,3.8754,4.4001,7.2231,5.7042,5.8237,6.5101,7.8235,8.6696,8.9774,10.3067,11.4051,11.8073,11.0557,8.4779,7.4665,6.9147,6.5657,6.643,6.0883,5.102,5.5575,6.2,6.5828,6.3437,5.797,5.2979,5.0512,5.2212,5.2183,5.7012,5.8251,5.4925,5.4164,5.0184,5.5129,5.9326,5.9245,5.0273,4.1653,3.5615,3.4233,3.3817,3.3717,3.5948,3.9354,4.278,4.2775,3.8149,3.7681,3.395,3.1817,3.0985,3.0537,3.313,3.3023,3.2708,3.0452,2.8136,2.9168,3.1433,2.9799,2.8672,2.8983,3.0836,3.033,2.9921,3.0264,2.857,2.6241,2.4382,2.96,3.3893,3.3265,2.9572,2.7489,2.8496,2.9182,2.9662,2.9599,2.8347,2.6866,2.6883,2.5881,2.5198,2.6267,2.4913,2.7372,3.0441,2.9022,2.9343,2.9579,2.6971,2.6158,2.6951,2.6192,2.5446,2.6295,2.724,2.8745,2.8251,2.9418,3.1703,2.8734,2.3282,1.5023,0.9684,0.7745,0.7607,0.7114,0.536
59,"Washington",8,1.4065,1.4142,1.4938,1.4691,1.4518,1.6367,1.585,1.5567,1.5559,1.6734,1.5898,1.6591,1.7293,1.6848,1.6679,1.6077,1.5476,1.6115,1.748,1.7682,1.8205,1.7657,1.8438,1.9642,2.1142,1.9141,1.9539,1.7303,1.7912,1.9805,2.0768,2.2043,2.1732,2.1239,2.099,2.1815,2.2834,2.1231,1.9597,1.7019,1.9727,2.3351,2.3321,2.3534,2.2991,2.5615,2.6297,2.4646,2.7485,2.7468,2.8478,2.8437,3.0111,2.9084,2.9862,3.0951,3.1174,3.1545,3.0212,2.9356,2.8101,2.6763,2.6814,2.5917,2.6462,2.7269,2.9814,3.0705,2.9091,2.7126,2.587,2.7121,2.9764,2.9562,3.052,2.8649,2.4139,2.3297,2.4431,2.4665,2.312,2.2089,2.141,2.0225,2.2051,2.0921,2.0813,1.8681,1.8374,1.6595,1.5192,1.4731,1.3431,1.2726,1.1519,1.2311,1.3117,1.1818,1.2123,1.1202,1.128,1.1939,1.239,1.1363,1.1012,1.0835,1.0955,1.1692,1.4855,1.4984,1.4946,1.4625,1.4338,1.5777,1.806,1.9751,2.0769,2.2115,2.2619,2.5774,3.2755,3.5321,3.417,3.4999,3.6528,4.2364,5.0631,5.1715,5.5942,6.2871,6.228,5.7483,5.7549,6.446,6.1437,5.7529,5.7955,6.8302,7.8491,8.2403,8.236,9.3939,8.472,8.1172,7.2405,7.0861,6.6081,6.6509,6.7022,7.4805,8.7818,10.8281,12.2501,12.2736,10.4514,9.7315,10.2371,10.5829,10.9457,10.4659,10.6539,9.9525,10.4154,10.5523,9.965,9.0091,8.5675,8.5921,7.292,5.9677,5.0228,4.7486,4.9424,5.2521,5.7599,6.2356,6.4192,5.9887,6.7769,9.8835,11.9248,11.7006,11.814,13.4673,13.323,11.9286,12.1401,12.1668,11.1538,10.7552,9.0653,8.0662,9.5347,9.4141,8.7642,8.91,8.7691,8.7007,8.6756,8.0279,7.5525,7.7468,7.1939,7.2618,7.3363,7.0114,6.3177,5.3892,4.2721,4.1955,4.6443,4.7586,4.7896,4.6181,3.9783,3.9392,4.1102,4.5614,5.4323,5.2456,5.33,4.4418,3.2527,2.4463,2.2048,1.98,1.6445
26,"Massachusetts",9,0.9228,0.8719,0.88,0.9613,0.9776,0.9079,0.9233,0.848,0.8133,0.8431,0.7626,0.7535,0.6781,0.6525,0.7363,0.7758,0.7075,0.6355,0.6654,0.6421,0.6151,0.5676,0.5472,0.5982,0.6128,0.6259,0.6245,0.5937,0.5718,0.5091,0.4742,0.5007,0.4671,0.5362,0.4368,0.3619,0.4241,0.4364,0.4191,0.4026,0.429,0.4184,0.4397,0.4269,0.3807,0.4271,0.412,0.4432,0.4166,0.4285,0.4705,0.4976,0.4822,0.4057,0.386,0.3261,0.3004,0.322,0.354,0.344,0.3406,0.3049,0.2386,0.1892,0.1361,0.1877,0.2793,0.3443,0.3244,0.3113,0.2489,0.2268,0.2127,0.29,0.3333,0.3222,0.3559,0.3628,0.3648,0.3138,0.2967,0.3528,0.3721,0.3321,0.3036,0.3357,0.3658,0.3838,0.3773,0.403,0.3598,0.3927,0.3777,0.3845,0.4025,0.4824,0.495,0.482,0.5276,0.6345,0.8001,1.0656,1.1558,1.4121,1.4923,1.6665,1.6414,1.5749,1.5675,1.7888,2.2324,2.4307,2.9808,3.4632,3.8234,4.8768,4.3308,3.9865,3.5663,3.7949,4.1493,4.5953,5.3787,6.4927,7.2804,7.1651,6.7838,6.4419,6.0541,6.315,6.392,6.2466,6.2804,6.1589,6.4367,6.2593,5.508,4.9602,4.989,4.9481,5.0882,5.7326,5.5942,5.5628,6.1189,6.5202,8.0629,9.0846,9.4362,9.4919,9.052,8.7059,7.8951,6.3211,4.9928,4.9503,4.7481,4.7936,5.2417,5.389,5.2883,5.6763,5.7189,6.1896,5.8589,5.993,6.0913,6.5257,6.4551,6.7965,7.4637,7.6939,8.0481,7.0263,5.2091,3.6769,2.879,2.2524,1.8085,1.4806,1.5206,1.4291,1.3348,1.3222,1.3792,1.7472,1.8285,1.697,1.5697,1.7798,1.6696,1.3807,1.5681,2.0242,1.9077,1.7069,1.4191,1.2981,1.3006,1.593,1.7163,2.0712,2.1315,2.0986,1.8612,1.9451,2.1116,2.2432,2.2339,2.164,2.2737,2.308,2.329,2.2074,2.3746,2.5301,2.423,2.5979,3.3411,3.2017,2.9733,2.7008,2.3898,5.6746,7.4147,8.0866,6.6201
8,"Arizona",10,1.3165,1.326,1.338,1.3791,1.4055,1.6302,1.7367,1.8375,1.8001,1.6473,1.7134,1.692,1.7065,1.6729,1.7723,1.6873,1.7216,1.7928,1.8118,1.7848,1.6384,1.4614,1.548,1.5784,1.7822,1.675,1.614,1.6083,1.527,1.6107,1.6212,1.7936,1.7567,1.8169,1.7692,1.8055,1.9086,1.7271,1.2573,1.4828,1.9702,2.1688,2.1858,2.3023,2.1035,2.2811,2.2812,2.2019,2.6804,2.8259,2.9474,2.9146,3.1935,3.2558,3.172,3.0065,2.9911,3.0784,2.8751,2.963,3.0377,3.0737,3.0636,3.0911,3.2863,3.4507,3.5145,3.4367,3.4189,3.4851,3.2135,3.2602,3.7321,3.5241,3.4497,3.1571,2.9201,2.8772,2.9153,2.7135,2.43,2.1385,1.9743,1.877,1.8805,1.684,1.5785,1.3436,1.2053,1.0125,0.8351,0.7087,0.6209,0.5582,0.5444,0.5283,0.5847,0.5617,0.4989,0.4599,0.521,0.5466,0.5667,0.7046,0.8782,1.0273,1.306,1.6278,2.349,2.7269,3.5552,3.8591,4.1761,4.8262,5.8335,7.5592,7.8051,9.2448,9.9634,11.2318,13.5963,15.6488,15.5727,17.9291,21.141,24.6597,27.8104,29.2389,30.3624,31.5244,29.8065,28.4933,28.7271,33.1792,30.0285,25.5324,25.0639,31.3511,36.2974,33.753,30.1064,32.6041,31.4622,35.1687,34.864,34.0724,37.1453,35.6718,33.3751,33.9929,36.3018,38.0869,38.8816,35.8543,27.583,25.4256,30.074,34.7044,38.5993,38.1746,36.0652,33.3935,29.5004,27.9811,25.119,21.5527,20.0201,21.2732,21.5279,19.6983,17.8818,16.2735,16.5269,16.1757,16.9199,19.94,18.403,17.4812,16.0575,13.8587,12.0623,10.7012,9.9887,9.6937,9.7483,8.2513,8.0645,7.6593,7.2812,7.0073,6.5578,6.4429,6.4872,6.1319,5.878,5.3091,5.1186,4.8491,5.0075,4.7117,4.6403,4.9176,4.433,4.2934,4.0897,3.9046,4.1423,4.2684,3.936,3.826,3.938,3.7955,3.768,3.7252,3.4488,3.5003,3.6092,3.4613,3.4452,3.0525,2.8971,2.3069,1.8962,1.7,1.4454,1.349,1.2568
